accuracy,loss,val_accuracy,val_loss
"[0.7947813868522644, 0.8117066025733948, 0.8117066025733948, 0.8117066025733948, 0.8117066025733948, 0.8117066025733948]","[0.5324205160140991, 0.4890677332878113, 0.4871423840522766, 0.48513656854629517, 0.48696959018707275, 0.48485204577445984]","[0.8366197347640991, 0.8366197347640991, 0.8366197347640991, 0.8366197347640991, 0.8366197347640991, 0.8366197347640991]","[0.44741255044937134, 0.4467419981956482, 0.4552488625049591, 0.44633716344833374, 0.44701457023620605, 0.4598981738090515]"
"[0.8018335700035095, 0.8159379363059998, 0.8159379363059998]","[0.5195107460021973, 0.47845789790153503, 0.4805886745452881]","[0.8197183012962341, 0.8197183012962341, 0.8197183012962341]","[0.47188496589660645, 0.47189244627952576, 0.4719143211841583]"
"[0.8145275115966797, 0.8145275115966797, 0.8145275115966797, 0.8145275115966797]","[0.5047720074653625, 0.4800161123275757, 0.48151901364326477, 0.48174601793289185]","[0.825352132320404, 0.825352132320404, 0.825352132320404, 0.825352132320404]","[0.46661481261253357, 0.4631771445274353, 0.4644925892353058, 0.4656014144420624]"
"[0.809020459651947, 0.8231148719787598, 0.8231148719787598, 0.8231148719787598]","[0.5086937546730042, 0.4687701165676117, 0.4683763086795807, 0.46802660822868347]","[0.790960431098938, 0.790960431098938, 0.790960431098938, 0.790960431098938]","[0.5218861699104309, 0.5151050090789795, 0.5160425305366516, 0.5152996778488159]"
"[0.8181818127632141, 0.8181818127632141, 0.8181818127632141, 0.8181818127632141, 0.8181818127632141, 0.8181818127632141, 0.8181818127632141]","[0.5183435082435608, 0.4770255386829376, 0.4758308231830597, 0.4750024974346161, 0.4776330590248108, 0.47592806816101074, 0.4752698242664337]","[0.8107344508171082, 0.8107344508171082, 0.8107344508171082, 0.8107344508171082, 0.8107344508171082, 0.8107344508171082, 0.8107344508171082]","[0.48667770624160767, 0.4866372346878052, 0.48580411076545715, 0.48575446009635925, 0.4853169620037079, 0.4857344627380371, 0.4853890538215637]"
