isolate	Spectinomycin	Cefotaxime	Ceftazidime
ERS358016	14	11	9
ERS358015	15	0	11
ERS358014	19	10	10
ERS358013	14	10	0
ERS358012	15	0	10
ERS358011	16	10	13
ERS358010	15	0	9
ERS358009	15	11	13
ERS358008	16	0	10
ERS358007	20	10	10
ERS358006	13	0	12
ERS358005	13	0	8
ERS358004	12	0	0
ERS358003	15	11	10
ERS358002	16	0	13
ERS358001	17	0	11
ERS358000	16	0	10
ERS357999	19	0	11
ERS357998	8	15	0
ERS357997	16	10	0
ERS357996	15	0	9
ERS357995	20	12	14
ERS357994	19	12	14
ERS357993	13	11	11
ERS357992	16	0	14
ERS357991	19	0	11
ERS357990	15	0	8
ERS357989	17	0	10
ERS357988	17	0	10
ERS357987	18	0	12
ERS357986	14	11	11
ERS357985	18	0	12
ERS357984	20	0	14
ERS357983	14	0	11
ERS357982	16	0	12
ERS357981	18	13	13
ERS357980	18	0	0
ERS357979	15	0	13
ERS357978	16	0	13
ERS357977	16	0	10
ERS357976	17	0	9
ERS357975	20	0	0
ERS357974	15	14	14
ERS357973	18	13	15
ERS357972	11	0	0
ERS357971	16	0	10
ERS357970	19	11	13
ERS357969	16	11	12
ERS357968	10	11	13
ERS357967	18	10	10
ERS357966	16	14	13
ERS357965	18	11	16
ERS357964	18	10	12
ERS357963	17	11	13
ERS357962	18	0	0
ERS357961	16	10	12
ERS357960	17	0	0
ERS357959	15	0	0
ERS357958	16	0	0
ERS357957	18	8	10
ERS357956	18	0	11
ERS357955	16	0	0
ERS357954	14	0	0
ERS357953	18	0	12
ERS357952	12	0	10
ERS357951	17	10	13
ERS357950	13	0	0
ERS357949	14	14	15
ERS357948	16	0	0
ERS357947	15	0	0
ERS357946	18	0	11
ERS357945	15	0	12
ERS357944	17	11	14
ERS357943	16	10	10
ERS357942	18	0	0
ERS357941	16	0	0
ERS357940	14	10	0
ERS357939	14	0	0
ERS357938	15	11	0
ERS357937	23	0	0
ERS357936	15	0	14
ERS357935	18	11	10
ERS357934	17	0	11
ERS357933	18	0	0
ERS357932	17	0	14
ERS357931	15	0	10
ERS357930	16	11	10
ERS357929	17	0	14
ERS357928	18	11	0
ERS357927	16	0	15
ERS357926	16	0	0
ERS357925	17	0	0
ERS357924	18	0	14
ERS357923	17	10	12
ERS357922	16	0	10
ERS357921	16	0	16
ERS357920	20	10	0
ERS357919	21	0	0
ERS357918	18	14	15
ERS357917	17	0	0
ERS357916	18	0	11
ERS357915	19	15	11
ERS357914	13	16	17
ERS357913	17	0	10
ERS357912	18	0	0
ERS357911	18	13	13
ERS357910	18	0	0
ERS357909	20	11	12
ERS357908	17	12	0
ERS357907	16	0	10
ERS357906	16	0	10
ERS357905	12	0	0
ERS357904	15	0	0
ERS357903	17	15	10
ERS357902	18	10	14
ERS357901	18	0	14
ERS357900	16	0	0
ERS357899	18	11	10
ERS357898	17	0	0
ERS357897	15	0	0
ERS357896	15	0	0
ERS357895	15	0	10
ERS357894	16	0	11
ERS357893	18	10	14
ERS357892	16	10	13
ERS357891	15	0	11
ERS357890	16	16	14
ERS357889	18	10	12
