NGK_RS04870	0.0046768965177562466	0.0046768965177562466
NGK_RS08635	0.0030250858710329158	0.0030250858710329158
NGK_RS02880	0.002512957140935613	0.002512957140935613
NGK_RS08645	0.0024034670116736237	0.0024034670116736237
NGK_RS05945	0.0023998082071261576	0.0023998082071261576
NGK_RS16150	-0.0023621030885715407	0.0023621030885715407
NGK_RS13520	0.0022078517139109254	0.0022078517139109254
NGK_RS10625	0.002170274049463141	0.002170274049463141
NGK_RS06530	0.0020536054911253357	0.0020536054911253357
NGK_RS06435	0.0019528088240882938	0.0019528088240882938
