locus_tag	gene_name	coef
b0014	dnaK	-0.6921097641705742
b0015	dnaJ	0.24769639294120438
b0024	yaaY	0.24877394748514803
b0033	carB	-0.19039286563950775
b0039	caiA	-0.3010022039367328
b0042	fixB	-0.9508848330097095
b0050	apaG	-0.8656699501030118
b0051	rsmA	-1.4851418419650741
b0053	surA	-0.6485806133437411
b0054	lptD	1.584229488255076
b0059	rapA	0.2572736002920477
b0081	mraZ	1.0964527521315723
b0084	ftsI	-0.6440040268562868
b4810	ftsO	0.300578804934557
b0085	murE	1.0483159151113721
b0087	mraY	0.4057051485384422
b0091	murC	-0.6071680691302128
b0093	ftsQ	2.6558559483050406
b0094	ftsA	-1.0536548139504092
b0096	lpxC	0.7107907890274143
b0102	zapD	-0.24357391159881883
b0103	coaE	0.8202749696654577
b0113	pdhR	3.049370112265415
b0114	aceE	0.6572235419059353
b0115	aceF	0.8600488022948936
b0116	lpd	0.14427967238449924
b0118	acnB	-0.14477489389473552
b0126	can	-0.14914357145333046
b0127	yadG	1.8767131070166692
b0143	pcnB	-0.1861621431330156
b0145	dksA	-3.1524524529089604
b4728	yadW	-0.46048249488359705
b0161	degP	0.14770026464017483
b4414	tff	-0.3549287021775993
b0169	rpsB	0.4266624458800406
b0171	pyrH	-1.5738019228283449
b0172	frr	0.500480634593103
b0173	dxr	1.7253467301744607
b0174	ispU	0.4834129967471448
b0175	cdsA	1.7250806550746756
b0176	rseP	-1.4190035076234082
b0177	bamA	-1.449464826510848
b0178	skp	-0.24700369900067276
b0179	lpxD	4.779494031848586
b0180	fabZ	0.34825586686773846
b0181	lpxA	3.4919369384681715
b0184	dnaE	3.110015498049691
b0194	proS	-2.4886790031113506
b0197	metQ	-1.659369031425861
b0211	mltD	1.4425969651935944
b0212	gloB	0.54785049123993
b0213	yafS	2.064354716898201
b0214	rnhA	-1.6012032406638
b0222	gmhA	-1.3503191717404022
b0224	dpaA	-0.24339501452296908
b0381	ddlA	-0.15159091581805395
b0398	sbcD	2.3254331215398407
b0399	phoB	0.24984103563829319
b0400	phoR	-0.8352555896172262
b0405	queA	-3.3520813244363197
b0406	tgt	-1.1454279142492823
b0407	yajC	3.6148873172706573
b0408	secD	1.789702597509681
b0409	secF	1.287266408300014
b0413	nrdR	0.19868669650126347
b0414	ribD	0.8050491972159648
b0415	ribE	-0.8368170689637378
b0416	nusB	-0.31213937582517204
b0420	dxs	1.202013208775198
b0423	thiI	0.3565636949914319
b0428	cyoE	-0.9091501735069194
b0430	cyoC	-3.577997830625023
b0431	cyoB	4.13731372405023
b0432	cyoA	0.540614931315647
b0435	bolA	0.3678996272942448
b0436	tig	2.5065123080452807
b0437	clpP	-4.284529637800077
b0438	clpX	4.964953706507025
b0439	lon	1.0396893970857626
b0440	hupB	1.4594218083367139
b0450	glnK	0.8411016905711328
b0470	dnaX	0.9827956889794605
b0473	htpG	0.6487741520506214
b0474	adk	-1.5932822680083056
b0495	ybbA	0.2631730090781408
b0523	purE	0.11152289201426724
b0525	ppiB	0.24583690164364347
b0526	cysS	-0.1759144315369734
b0529	folD	1.152260431010518
b0627	tatE	-0.558616029564206
b0628	lipA	0.28346208020255137
b0631	ybeD	0.42304579921639296
b0634	mrdB	-1.8318835294558253
b0636	rlmH	0.8532993832560649
b0637	rsfS	-0.8560799026506167
b0643	ybeL	-0.7186577504901344
b0658	ybeX	-1.156821508760089
b0661	miaB	0.17317630328181655
b0672	leuW	-1.586744443238735
b0683	fur	4.725580124550225
b4637	uof	0.6406732171252365
b0684	fldA	0.20458417748745483
b0687	seqA	-0.4844505368222656
b0688	pgm	-2.157753955026204
b0720	gltA	0.14728311183005083
b0723	sdhA	-0.6115465964972486
b0724	sdhB	-0.43005992072476484
b0726	sucA	1.5790330474079184
b0733	cydA	-3.1650250005717453
b0734	cydB	7.083292652279454
b0737	tolQ	1.4936214924253406
b0739	tolA	3.100889640994261
b0740	tolB	-0.8203012140550561
