Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR16683523_2	(1.0, 38.85409622646626)	(2.0, 20.376878898515212)	(3.0, 12.438449128322853)	(4.0, 7.996187419622639)	(5.0, 5.256422047874267)	(6.0, 3.665106231803216)	(7.0, 2.506238943584643)	(8.0, 1.8969187172327155)	(9.0, 1.3382710798179085)	('>10', 5.452776253865362)	('>50', 0.09746241500753225)	('>100', 0.05969189627287356)	('>500', 0.0)	('>1k', 0.06150074161447579)	('>5k', 0.0)	('>10k+', 0.0)
SRR16683553_1	(1.0, 38.45739631778164)	(2.0, 20.663662817664015)	(3.0, 12.557742615041986)	(4.0, 8.122553133130843)	(5.0, 5.290201323657752)	(6.0, 3.604449877465253)	(7.0, 2.4531416965493555)	(8.0, 1.8128635904433272)	(9.0, 1.360980373270486)	('>10', 5.4962833754480185)	('>50', 0.11033669790814)	('>100', 0.07038818163921509)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR16683553_2	(1.0, 39.42160318921351)	(2.0, 20.439096577629716)	(3.0, 12.454313345309583)	(4.0, 7.8380736216536055)	(5.0, 5.185255930620563)	(6.0, 3.58139488847277)	(7.0, 2.4840090868698943)	(8.0, 1.782028509708251)	(9.0, 1.3215785995995002)	('>10', 5.253657157559063)	('>50', 0.1420224276438379)	('>100', 0.03577650516375389)	('>500', 0.06119016055593769)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR16683554_1	(1.0, 39.135041161957396)	(2.0, 20.729840396037552)	(3.0, 12.473521435920976)	(4.0, 7.7578619525905115)	(5.0, 5.150635483028815)	(6.0, 3.398427160662808)	(7.0, 2.3943361404819727)	(8.0, 1.7512602459364697)	(9.0, 1.28771808911858)	('>10', 5.676786704812832)	('>50', 0.17927539239310958)	('>100', 0.06529583705896712)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR16683554_2	(1.0, 40.115914466632866)	(2.0, 20.547213428053915)	(3.0, 12.123781821324773)	(4.0, 7.5674443394722335)	(5.0, 4.913162844966014)	(6.0, 3.355637029726114)	(7.0, 2.489800997640854)	(8.0, 1.7744854823542895)	(9.0, 1.2904915361737093)	('>10', 5.485093904461275)	('>50', 0.23495501564422192)	('>100', 0.051247452829127224)	('>500', 0.05077168072063399)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR16683555_1	(1.0, 38.42897746917323)	(2.0, 20.87195643100543)	(3.0, 12.573719546710226)	(4.0, 8.094937200340864)	(5.0, 5.360218492337167)	(6.0, 3.601664684921409)	(7.0, 2.5759851239719374)	(8.0, 1.917545985410557)	(9.0, 1.3157526751775432)	('>10', 5.112404846426539)	('>50', 0.10044897966133863)	('>100', 0.046388564863747594)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR16683555_2	(1.0, 39.015532582441246)	(2.0, 20.840498459293716)	(3.0, 12.6839470928284)	(4.0, 7.8775573668559735)	(5.0, 5.159184674354411)	(6.0, 3.555975642031324)	(7.0, 2.4701101290315535)	(8.0, 1.7949754278696912)	(9.0, 1.3246340258597005)	('>10', 5.047525998372124)	('>50', 0.13422839217441107)	('>100', 0.029324415114681875)	('>500', 0.0)	('>1k', 0.06650579377274898)	('>5k', 0.0)	('>10k+', 0.0)
SRR16683556_1	(1.0, 40.28648111165253)	(2.0, 20.696071839137396)	(3.0, 12.055156122178623)	(4.0, 7.445615914124465)	(5.0, 5.0226057800941)	(6.0, 3.346100122216385)	(7.0, 2.3250182926946334)	(8.0, 1.810936069890826)	(9.0, 1.3064684789173564)	('>10', 5.509467258144369)	('>50', 0.11672480658241532)	('>100', 0.07935420436692543)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR16683556_2	(1.0, 40.77661541623351)	(2.0, 20.49027331517846)	(3.0, 12.110659910372712)	(4.0, 7.375009467334813)	(5.0, 4.925434352690784)	(6.0, 3.340436613302167)	(7.0, 2.4114118351464344)	(8.0, 1.6842212445276405)	(9.0, 1.3048538957978444)	('>10', 5.330746220674092)	('>50', 0.1301072170653506)	('>100', 0.07320307906477742)	('>500', 0.04702743261131156)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR16683557_1	(1.0, 39.683851960329356)	(2.0, 20.655715004157127)	(3.0, 12.530425624471944)	(4.0, 7.8414101241154235)	(5.0, 4.981597138087797)	(6.0, 3.4863497891107675)	(7.0, 2.3785988624410637)	(8.0, 1.7869723234131731)	(9.0, 1.3112370526080452)	('>10', 5.142313551840521)	('>50', 0.12701349100611903)	('>100', 0.07451507841866274)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR16683557_2	(1.0, 41.073760908412105)	(2.0, 20.59713869626617)	(3.0, 12.244559155496326)	(4.0, 7.4506076371786065)	(5.0, 4.885895765485169)	(6.0, 3.314683255045192)	(7.0, 2.344161359961763)	(8.0, 1.659252579536712)	(9.0, 1.2375799091096176)	('>10', 4.956780575797476)	('>50', 0.1378875785541497)	('>100', 0.041308073262812196)	('>500', 0.05638450589392041)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR16683558_1	(1.0, 35.10287039163567)	(2.0, 19.014920906761063)	(3.0, 12.3881859013354)	(4.0, 8.271315905588878)	(5.0, 5.85645775445305)	(6.0, 4.208115500941425)	(7.0, 2.9150646970928715)	(8.0, 2.2776336590351685)	(9.0, 1.6937614718124197)	('>10', 7.937109021859904)	('>50', 0.20916545060214994)	('>100', 0.12539933888195592)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR16683558_2	(1.0, 36.20232956138181)	(2.0, 18.921756529917044)	(3.0, 12.262696870918122)	(4.0, 8.068198346635405)	(5.0, 5.6063924866185495)	(6.0, 4.039673459002624)	(7.0, 2.9749020525792638)	(8.0, 2.2815383982889106)	(9.0, 1.6468734499016302)	('>10', 7.6212432120364895)	('>50', 0.21974729921139022)	('>100', 0.09115886510572603)	('>500', 0.0)	('>1k', 0.06348946840304684)	('>5k', 0.0)	('>10k+', 0.0)
SRR16683559_1	(1.0, 40.23591565632897)	(2.0, 20.951867393850172)	(3.0, 12.298316203560852)	(4.0, 7.63345459374479)	(5.0, 4.9164084210880095)	(6.0, 3.288393955089344)	(7.0, 2.411183848579789)	(8.0, 1.6355559759969562)	(9.0, 1.2676719131897858)	('>10', 5.179343492746514)	('>50', 0.12576649574023196)	('>100', 0.056122050084600514)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR16683559_2	(1.0, 41.932632583973025)	(2.0, 20.579591677490672)	(3.0, 11.985334006085473)	(4.0, 7.6267741698287805)	(5.0, 4.768784614264128)	(6.0, 3.190008379048865)	(7.0, 2.236814702412067)	(8.0, 1.6024950969386398)	(9.0, 1.1817977422187649)	('>10', 4.672749394678613)	('>50', 0.11606331936436771)	('>100', 0.05787352688567922)	('>500', 0.04908078681089359)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR16683560_1	(1.0, 38.944495122656086)	(2.0, 19.973729102030823)	(3.0, 12.076093197798953)	(4.0, 7.65675608541757)	(5.0, 5.01815960119683)	(6.0, 3.5633420302016265)	(7.0, 2.7204993812782625)	(8.0, 1.9319944359777255)	(9.0, 1.3951610713644693)	('>10', 6.42976835733066)	('>50', 0.21122684740041414)	('>100', 0.07877476734659274)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR16683560_2	(1.0, 39.484449562081906)	(2.0, 20.119849527572168)	(3.0, 11.85392709504224)	(4.0, 7.68400004256649)	(5.0, 4.978863512169818)	(6.0, 3.576448712056891)	(7.0, 2.4644958954440686)	(8.0, 1.8546295438278153)	(9.0, 1.3256464182587124)	('>10', 6.352751412799937)	('>50', 0.19150146670935989)	('>100', 0.06822900800285257)	('>500', 0.04520780346774125)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR16683561_1	(1.0, 37.79520432552596)	(2.0, 20.445709525033713)	(3.0, 12.48323501103734)	(4.0, 8.28048791106641)	(5.0, 5.305747412959348)	(6.0, 3.793240538648985)	(7.0, 2.654395677149152)	(8.0, 1.8976555799867432)	(9.0, 1.4756223952101026)	('>10', 5.685163852169992)	('>50', 0.1174172083693818)	('>100', 0.06612056284284867)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR16683561_2	(1.0, 38.25014146114703)	(2.0, 20.32833548111379)	(3.0, 12.62766792975867)	(4.0, 8.029119460474309)	(5.0, 5.351095034868409)	(6.0, 3.6191769751014515)	(7.0, 2.7122006304393764)	(8.0, 1.7832543122274058)	(9.0, 1.4317202652096177)	('>10', 5.597028921772489)	('>50', 0.16235014892905317)	('>100', 0.059373464988451974)	('>500', 0.04853591396995142)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR16683562_1	(1.0, 36.204777755145365)	(2.0, 20.212884962831826)	(3.0, 12.994188616160551)	(4.0, 8.456184504877793)	(5.0, 5.722058318270743)	(6.0, 4.075814593664053)	(7.0, 2.8341943821018956)	(8.0, 2.0027778720455953)	(9.0, 1.5216873757131515)	('>10', 5.83672248836184)	('>50', 0.09341448498482237)	('>100', 0.04529464584234684)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR16683562_2	(1.0, 37.07480405652288)	(2.0, 20.078591641226023)	(3.0, 12.880449946843758)	(4.0, 8.448356450832602)	(5.0, 5.602656183104822)	(6.0, 3.835141437064212)	(7.0, 2.725953517007449)	(8.0, 1.9857181811120461)	(9.0, 1.4088864016687601)	('>10', 5.7568813016949525)	('>50', 0.10313331317147957)	('>100', 0.038188259963148126)	('>500', 0.0)	('>1k', 0.061239309787913476)	('>5k', 0.0)	('>10k+', 0.0)
SRR16683564_1	(1.0, 35.83486614226847)	(2.0, 19.53498770350153)	(3.0, 12.388060493144492)	(4.0, 7.946136411299324)	(5.0, 5.5235733172976715)	(6.0, 3.9667162394922406)	(7.0, 2.854549410169569)	(8.0, 2.009180846977649)	(9.0, 1.5935901398020729)	('>10', 7.981190472358615)	('>50', 0.3008181359800789)	('>100', 0.06633068770833218)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR16683564_2	(1.0, 36.86961081694594)	(2.0, 19.237403856770694)	(3.0, 12.29598943158861)	(4.0, 7.8936454714830715)	(5.0, 5.47752831111715)	(6.0, 3.7590613317365564)	(7.0, 2.690616525185167)	(8.0, 2.124473296488508)	(9.0, 1.6051126571072791)	('>10', 7.706822043999588)	('>50', 0.2414686685329526)	('>100', 0.052204656679885574)	('>500', 0.04606293236460492)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR16683565_1	(1.0, 38.037461795674865)	(2.0, 20.195008675336183)	(3.0, 12.510164476413028)	(4.0, 7.999824215211078)	(5.0, 5.50984982812145)	(6.0, 3.7854553594454945)	(7.0, 2.649945651016567)	(8.0, 1.9002122488092243)	(9.0, 1.4867199767639)	('>10', 5.746742734057592)	('>50', 0.11226481860574633)	('>100', 0.06635022054484552)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR16683565_2	(1.0, 38.88665077451553)	(2.0, 20.085900468844407)	(3.0, 12.41685043519831)	(4.0, 8.133453261902737)	(5.0, 5.1958056247020075)	(6.0, 3.6173492730638785)	(7.0, 2.5600172056220014)	(8.0, 1.8485712044962652)	(9.0, 1.3818190165826867)	('>10', 5.654155360701087)	('>50', 0.1165723569453543)	('>100', 0.04825871365932764)	('>500', 0.05459630376639597)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR16683566_1	(1.0, 37.018114017246646)	(2.0, 19.984426288051203)	(3.0, 12.632975942730573)	(4.0, 8.279772487178464)	(5.0, 5.521367789433557)	(6.0, 3.7915326083801713)	(7.0, 2.7231384497613034)	(8.0, 2.0509723302192335)	(9.0, 1.4499610047650724)	('>10', 6.327693245952953)	('>50', 0.1449521731191595)	('>100', 0.075093663161705)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR16683566_2	(1.0, 38.042266663893436)	(2.0, 19.929452685959298)	(3.0, 12.535785611727276)	(4.0, 7.961925092432312)	(5.0, 5.321917534640975)	(6.0, 3.757723920895849)	(7.0, 2.702363434440998)	(8.0, 2.0064600420128267)	(9.0, 1.4523952380846439)	('>10', 6.027177319769937)	('>50', 0.14276829892866993)	('>100', 0.0677005991253794)	('>500', 0.05206355808845548)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
