Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
SRR16683523_2	(35, 4731.0)	(40, 5125.0)	(45, 7417.0)	(50, 9209.0)	(55, 11982.0)	(60, 14269.0)	(65, 16442.0)	(70, 19064.0)	(75, 21622.0)	(80, 24914.0)	(85, 27142.0)	(90, 29591.0)	(95, 31698.0)	(100, 33656.0)	(105, 34801.0)	(110, 36880.0)	(115, 37523.0)	(120, 38160.0)	(125, 38761.0)	(130, 38925.0)	(135, 39009.0)	(140, 39098.0)	(145, 1110087.0)
SRR16683553_1	(35, 3514.0)	(40, 3776.0)	(45, 5306.0)	(50, 6529.0)	(55, 8405.0)	(60, 10034.0)	(65, 11302.0)	(70, 13507.0)	(75, 15183.0)	(80, 17397.0)	(85, 19180.0)	(90, 21784.0)	(95, 23321.0)	(100, 25937.0)	(105, 27565.0)	(110, 29457.0)	(115, 31098.0)	(120, 32934.0)	(125, 33944.0)	(130, 34972.0)	(135, 36572.0)	(140, 37418.0)	(145, 1181663.0)
SRR16683553_2	(35, 3463.0)	(40, 3758.0)	(45, 5271.0)	(50, 6511.0)	(55, 8387.0)	(60, 9987.0)	(65, 11261.0)	(70, 13432.0)	(75, 15121.0)	(80, 17340.0)	(85, 19147.0)	(90, 21653.0)	(95, 23292.0)	(100, 25943.0)	(105, 27480.0)	(110, 29337.0)	(115, 31043.0)	(120, 32855.0)	(125, 33824.0)	(130, 34922.0)	(135, 36505.0)	(140, 37428.0)	(145, 1182838.0)
SRR16683554_1	(35, 2323.0)	(40, 2547.0)	(45, 3665.0)	(50, 4669.0)	(55, 5931.0)	(60, 7063.0)	(65, 8161.0)	(70, 9681.0)	(75, 11089.0)	(80, 12548.0)	(85, 14251.0)	(90, 15977.0)	(95, 17528.0)	(100, 19058.0)	(105, 20701.0)	(110, 22842.0)	(115, 23749.0)	(120, 25319.0)	(125, 26799.0)	(130, 28034.0)	(135, 29264.0)	(140, 30729.0)	(145, 1140630.0)
SRR16683554_2	(35, 2283.0)	(40, 2530.0)	(45, 3640.0)	(50, 4639.0)	(55, 5916.0)	(60, 7049.0)	(65, 8164.0)	(70, 9664.0)	(75, 11091.0)	(80, 12496.0)	(85, 14200.0)	(90, 15959.0)	(95, 17526.0)	(100, 19040.0)	(105, 20645.0)	(110, 22820.0)	(115, 23737.0)	(120, 25326.0)	(125, 26790.0)	(130, 27996.0)	(135, 29218.0)	(140, 30962.0)	(145, 1140867.0)
SRR16683555_1	(35, 3352.0)	(40, 3429.0)	(45, 5091.0)	(50, 6112.0)	(55, 7922.0)	(60, 9458.0)	(65, 10993.0)	(70, 13153.0)	(75, 14554.0)	(80, 17185.0)	(85, 18522.0)	(90, 20711.0)	(95, 22170.0)	(100, 24715.0)	(105, 27015.0)	(110, 28581.0)	(115, 30419.0)	(120, 32099.0)	(125, 32976.0)	(130, 34633.0)	(135, 35395.0)	(140, 36530.0)	(145, 1193822.0)
SRR16683555_2	(35, 3295.0)	(40, 3402.0)	(45, 5065.0)	(50, 6086.0)	(55, 7912.0)	(60, 9432.0)	(65, 10970.0)	(70, 13120.0)	(75, 14533.0)	(80, 17157.0)	(85, 18433.0)	(90, 20654.0)	(95, 22119.0)	(100, 24678.0)	(105, 26945.0)	(110, 28508.0)	(115, 30391.0)	(120, 32070.0)	(125, 32903.0)	(130, 34604.0)	(135, 35368.0)	(140, 36683.0)	(145, 1194509.0)
SRR16683556_1	(35, 2317.0)	(40, 2735.0)	(45, 4255.0)	(50, 5628.0)	(55, 7317.0)	(60, 8920.0)	(65, 10913.0)	(70, 12762.0)	(75, 14469.0)	(80, 16820.0)	(85, 18233.0)	(90, 20285.0)	(95, 21844.0)	(100, 23926.0)	(105, 24877.0)	(110, 26315.0)	(115, 27062.0)	(120, 28181.0)	(125, 28472.0)	(130, 29130.0)	(135, 29709.0)	(140, 30140.0)	(145, 967769.0)
SRR16683556_2	(35, 2284.0)	(40, 2728.0)	(45, 4249.0)	(50, 5627.0)	(55, 7299.0)	(60, 8922.0)	(65, 10916.0)	(70, 12735.0)	(75, 14468.0)	(80, 16787.0)	(85, 18217.0)	(90, 20268.0)	(95, 21837.0)	(100, 23860.0)	(105, 24873.0)	(110, 26359.0)	(115, 27089.0)	(120, 28218.0)	(125, 28490.0)	(130, 29196.0)	(135, 29679.0)	(140, 30320.0)	(145, 967658.0)
SRR16683557_1	(35, 3770.0)	(40, 4238.0)	(45, 6148.0)	(50, 7627.0)	(55, 9910.0)	(60, 11644.0)	(65, 13717.0)	(70, 15855.0)	(75, 17944.0)	(80, 20253.0)	(85, 22010.0)	(90, 24438.0)	(95, 25871.0)	(100, 27649.0)	(105, 28961.0)	(110, 30405.0)	(115, 30984.0)	(120, 31913.0)	(125, 32301.0)	(130, 32937.0)	(135, 32874.0)	(140, 33868.0)	(145, 1024458.0)
