Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
SRR16683522_1	(1, 31.406610673991196)	(2, 31.454861259845647)	(3, 31.521171729793377)	(4, 31.598127877686757)	(5, 31.60174695893743)	(6, 35.2129151260671)	(7, 35.19654411173182)	(8, 35.15027284153251)	(9, 35.201239305479085)	(10, 35.175942094699984)	(15, 35.14312494710855)	(20, 35.06687057083066)	(25, 34.98313606345512)	(30, 34.9138237620266)	(35, 34.87878716280876)	(40, 34.83675033459472)	(45, 34.73713720282511)	(50, 34.63072921803779)	(55, 34.51237298527076)	(60, 34.37124346118461)	(65, 34.290676489736356)	(70, 34.2418479499041)	(75, 34.177085725269066)	(80, 34.106372752681686)	(85, 34.03202656772147)	(90, 33.97727420489731)	(95, 33.85991218239941)	(100, 33.74287513915873)	(105, 33.61078272408979)	(110, 33.385270856045565)	(115, 33.14891364121301)	(120, 32.85093735762248)	(125, 32.548230734289554)	(130, 32.43357814691894)	(135, 32.387194791561626)	(140, 32.380130511059676)	(145, 31.243169755338137)
SRR16683522_2	(1, 31.47281666699751)	(2, 31.318075869065318)	(3, 31.34443853569298)	(4, 31.39319217802035)	(5, 31.389055413524957)	(6, 35.07293796472649)	(7, 35.064678017738096)	(8, 35.025470433547966)	(9, 35.08193342938247)	(10, 35.02604140003281)	(15, 34.94582881035241)	(20, 34.886633951453746)	(25, 34.83506068543142)	(30, 34.795715296155564)	(35, 34.7419904613784)	(40, 34.64122752991792)	(45, 34.537813776452886)	(50, 34.41945912478804)	(55, 34.29493758289572)	(60, 34.19843121540182)	(65, 34.1338074709423)	(70, 34.0937205303391)	(75, 34.00494644965902)	(80, 33.91335970839974)	(85, 33.841060019456144)	(90, 33.72553387560572)	(95, 33.541004124306944)	(100, 33.366500356263245)	(105, 33.07237589865488)	(110, 32.712705543769076)	(115, 32.343056058307944)	(120, 31.846938701853425)	(125, 31.528765107518844)	(130, 31.37572058994357)	(135, 31.27064908063925)	(140, 31.2298872102117)	(145, 30.19182805392496)
SRR16683523_1	(1, 31.39321935254409)	(2, 31.42303422657005)	(3, 31.50550623732865)	(4, 31.594508971286853)	(5, 31.597936298654098)	(6, 35.20829037198836)	(7, 35.19570135069271)	(8, 35.150282676668425)	(9, 35.21427202824252)	(10, 35.17529210720756)	(15, 35.138596472319726)	(20, 35.06780264246701)	(25, 34.980202573968356)	(30, 34.91785982446623)	(35, 34.88100195253874)	(40, 34.83217164843969)	(45, 34.730815856431974)	(50, 34.62147370128447)	(55, 34.502582197123964)	(60, 34.3587652091539)	(65, 34.274106753249505)	(70, 34.22480606484314)	(75, 34.161242595175096)	(80, 34.08485185813667)	(85, 34.0110283488081)	(90, 33.95478693950513)	(95, 33.83096210318361)	(100, 33.7180263458057)	(105, 33.58015749066099)	(110, 33.35046179116516)	(115, 33.10898549443168)	(120, 32.81872260539187)	(125, 32.51211667816514)	(130, 32.40011994860847)	(135, 32.350587947922165)	(140, 32.35807529712166)	(145, 31.21554891327684)
SRR16683523_2	(1, 31.468142141876026)	(2, 31.313904027648544)	(3, 31.33564216882042)	(4, 31.387182609966075)	(5, 31.386409006374446)	(6, 35.076801711987144)	(7, 35.05989260561905)	(8, 35.016887550850065)	(9, 35.07951052208662)	(10, 35.01985047655658)	(15, 34.93700747138205)	(20, 34.874979073184576)	(25, 34.826585977177494)	(30, 34.788877592200734)	(35, 34.7326911744173)	(40, 34.62867079744679)	(45, 34.52661713594209)	(50, 34.40655792794237)	(55, 34.28503911951949)	(60, 34.18124326850184)	(65, 34.12381054252221)	(70, 34.07964825074328)	(75, 33.99252669402146)	(80, 33.905254557422076)	(85, 33.828781227343725)	(90, 33.71285081569785)	(95, 33.527063646569516)	(100, 33.35584977263049)	(105, 33.06429909952815)	(110, 32.70861724068062)	(115, 32.33976454051047)	(120, 31.85535511866204)	(125, 31.53322263155693)	(130, 31.38645484848376)	(135, 31.275753674681958)	(140, 31.242446923559054)	(145, 30.200671276720254)
SRR16683553_1	(1, 31.41305360933727)	(2, 31.449048257356214)	(3, 31.527992430699573)	(4, 31.61144727918479)	(5, 31.616887560568507)	(6, 35.23465076606667)	(7, 35.21855557831197)	(8, 35.17507011904601)	(9, 35.231549217009096)	(10, 35.20524344523356)	(15, 35.171120886829634)	(20, 35.09648601482219)	(25, 35.017408409870505)	(30, 34.95761694581426)	(35, 34.91611495272448)	(40, 34.867960544798564)	(45, 34.77001392594406)	(50, 34.66224869138348)	(55, 34.54020741387707)	(60, 34.39861145318319)	(65, 34.317443627799804)	(70, 34.262282706918086)	(75, 34.19825855900477)	(80, 34.12326668843984)	(85, 34.050653669186445)	(90, 33.999114797285586)	(95, 33.87574802529883)	(100, 33.76255920830352)	(105, 33.62666894873818)	(110, 33.40243640068497)	(115, 33.16405313000744)	(120, 32.87282541843776)	(125, 32.570888910344486)	(130, 32.45615593910353)	(135, 32.41101512576828)	(140, 32.4158405871551)	(145, 31.27224035373526)
SRR16683553_2	(1, 31.472381006108666)	(2, 31.312683115873334)	(3, 31.335511816914174)	(4, 31.39144884896842)	(5, 31.385570745119875)	(6, 35.06953099034951)	(7, 35.05806543790218)	(8, 35.01576958029137)	(9, 35.08324145602337)	(10, 35.01812143502752)	(15, 34.938442774641615)	(20, 34.881461959114496)	(25, 34.827458581626914)	(30, 34.794501955484364)	(35, 34.73719039935064)	(40, 34.63077013530764)	(45, 34.529433996871276)	(50, 34.40873369945936)	(55, 34.28507378727585)	(60, 34.18716518448491)	(65, 34.12722052101873)	(70, 34.081865074362426)	(75, 33.996725028708674)	(80, 33.90217350963489)	(85, 33.83546795530429)	(90, 33.714306675901625)	(95, 33.539129232818354)	(100, 33.364409870348716)	(105, 33.07293037624525)	(110, 32.720341460174176)	(115, 32.359370556892976)	(120, 31.870402457680115)	(125, 31.559115169138646)	(130, 31.409841592467266)	(135, 31.30701831074465)	(140, 31.274111330462897)	(145, 30.23461573773102)
SRR16683554_1	(1, 31.408050140365503)	(2, 31.445869234121027)	(3, 31.535193901351583)	(4, 31.623321313567494)	(5, 31.621211446702254)	(6, 35.24069749716369)	(7, 35.227230907660946)	(8, 35.1813750288353)	(9, 35.24495567795661)	(10, 35.22095877530593)	(15, 35.18869953148544)	(20, 35.11583020698011)	(25, 35.03654467481205)	(30, 34.979575301607085)	(35, 34.937545947591154)	(40, 34.89063947100283)	(45, 34.793875520142436)	(50, 34.687332571675356)	(55, 34.570841529127804)	(60, 34.43039533290594)	(65, 34.347523331506)	(70, 34.294809602283806)	(75, 34.22967717160161)	(80, 34.156327771447216)	(85, 34.086885363270696)	(90, 34.03144116196888)	(95, 33.91647086963807)	(100, 33.79642571681094)	(105, 33.668221415461595)	(110, 33.44986618946542)	(115, 33.21200158030506)	(120, 32.920970504757086)	(125, 32.62344576944671)	(130, 32.51126171643756)	(135, 32.462281518577754)	(140, 32.470052318226394)	(145, 31.32154171667612)
SRR16683554_2	(1, 31.496481756531615)	(2, 31.346952362066105)	(3, 31.375672317710336)	(4, 31.42234705151502)	(5, 31.411446972057753)	(6, 35.10644507668503)	(7, 35.10502455890427)	(8, 35.061194907720306)	(9, 35.12332266258723)	(10, 35.067253625153285)	(15, 34.98630717988773)	(20, 34.92694289194757)	(25, 34.88079643427103)	(30, 34.848928271271674)	(35, 34.78860324899968)	(40, 34.68649260632485)	(45, 34.58195381929853)	(50, 34.470660606285605)	(55, 34.346373713566194)	(60, 34.24656008703896)	(65, 34.18522724712709)	(70, 34.14469027631864)	(75, 34.05960791490703)	(80, 33.9666550183883)	(85, 33.894097724950065)	(90, 33.78427558459419)	(95, 33.60517104404086)	(100, 33.43578486846093)	(105, 33.15114495904148)	(110, 32.79655134961142)	(115, 32.43698605295869)	(120, 31.95368582523586)	(125, 31.63905589686891)	(130, 31.493043687312394)	(135, 31.390009887189827)	(140, 31.359545584978587)	(145, 30.31613544061539)
SRR16683555_1	(1, 31.420608691968564)	(2, 31.461534825154388)	(3, 31.536785448758838)	(4, 31.620776664577242)	(5, 31.62603440368803)	(6, 35.24443698172377)	(7, 35.22724987214804)	(8, 35.18873343373217)	(9, 35.24938713941297)	(10, 35.2157748135633)	(15, 35.18252814738368)	(20, 35.11092503424222)	(25, 35.027190688816624)	(30, 34.97244586167922)	(35, 34.930671843605595)	(40, 34.88174170533911)	(45, 34.7808397699109)	(50, 34.67351474689074)	(55, 34.556495775736295)	(60, 34.41504722916783)	(65, 34.333813599886746)	(70, 34.281937371424014)	(75, 34.215434518322624)	(80, 34.14269458419313)	(85, 34.06918785356968)	(90, 34.014838895153815)	(95, 33.89611069429208)	(100, 33.77960868171538)	(105, 33.64233489613504)	(110, 33.41915520133005)	(115, 33.18504733326775)	(120, 32.8927529459832)	(125, 32.59592479991794)	(130, 32.481703053330975)	(135, 32.430040317266865)	(140, 32.44102439995025)	(145, 31.293372864820697)
SRR16683555_2	(1, 31.50201953909446)	(2, 31.360241693920262)	(3, 31.37997110822016)	(4, 31.429834906746347)	(5, 31.42379010299987)	(6, 35.11646653409764)	(7, 35.107965990458226)	(8, 35.06928870107936)	(9, 35.134307484419864)	(10, 35.07536150026061)	(15, 34.98977479023377)	(20, 34.931925785084694)	(25, 34.88464260082501)	(30, 34.85325173728249)	(35, 34.79243839636007)	(40, 34.69188697962015)	(45, 34.587688449821286)	(50, 34.47214987389676)	(55, 34.34954726027875)	(60, 34.24551118017608)	(65, 34.184772790432085)	(70, 34.144247257489994)	(75, 34.057953176622206)	(80, 33.96638319114745)	(85, 33.894680021549014)	(90, 33.77660425091044)	(95, 33.597262497405374)	(100, 33.43104341311979)	(105, 33.13651171829951)	(110, 32.78505672717436)	(115, 32.421292783078286)	(120, 31.932683132444073)	(125, 31.612535971814104)	(130, 31.468212220734266)	(135, 31.36379968504133)	(140, 31.32607783967281)	(145, 30.29308415159689)
