Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
SRR16683522_1	(1, 0.02611923535416116)	(2, 0.011910371321497488)	(3, 0.00856710919616486)	(4, 0.00945516319820634)	(5, 0.010865601907331043)	(6, 0.008305916842623249)	(7, 0.008410393784039892)	(8, 0.00835815531333157)	(9, 0.008253678371914926)	(10, 0.008640243055156512)	(15, 0.009413372421639681)	(20, 0.010008890987714555)	(25, 0.013905880902555403)	(30, 0.06303093875666171)	(35, 0.029490415667251798)	(40, 0.017834727461822963)	(45, 0.009958844520576157)	(50, 0.0009140793084968773)	(55, 0.006224767460472727)	(60, 0.011258068598226485)	(65, 0.001938985919128074)	(70, 0.00042231236244980735)	(75, 0.000463158299034202)	(80, 0.001692299633738008)	(85, 0.0012697890151492884)	(90, 0.0021541974537386097)	(95, 0.005383979622871985)	(100, 0.006311727456306528)	(105, 0.0054323936644937966)	(110, 0.0080148998745729)	(115, 0.013942396506373857)	(120, 0.010796491212815508)	(125, 0.02077622441692301)	(130, 0.01547778999671996)	(135, 0.007958490855303407)	(140, 0.0048490216420652285)	(145, 0.00851299737446703)
SRR16683522_2	(1, 0.02857444347745231)	(2, 0.02429088887936988)	(3, 0.02298492711166182)	(4, 0.022828211699536853)	(5, 0.0180222723943712)	(6, 0.01645511827312153)	(7, 0.014835725681163538)	(8, 0.015723779683205017)	(9, 0.012484994499289035)	(10, 0.015243185752688453)	(15, 0.019140175667529298)	(20, 0.02244164701629527)	(25, 0.02508491363413638)	(30, 0.07296669588538461)	(35, 0.03580224348163628)	(40, 0.01062467855355563)	(45, 0.008617106477022738)	(50, 0.013380642068887456)	(55, 0.013369399287608132)	(60, 0.012501162175141608)	(65, 0.01496135184904675)	(70, 0.012355357869829638)	(75, 0.01427478555635638)	(80, 0.019391502701057946)	(85, 0.02835873886937128)	(90, 0.025680799807159444)	(95, 0.007133139430415113)	(100, 0.0285412357403278)	(105, 0.06569725610956362)	(110, 0.08756649010687702)	(115, 0.052466146344788626)	(120, 0.019626585396778345)	(125, 0.014423100759331184)	(130, 0.023011682878402457)	(135, 0.03622003255415577)	(140, 0.04458456629237523)	(145, 0.042364274729419955)
SRR16683523_1	(1, 0.024249957787110518)	(2, 0.012633928624889679)	(3, 0.009460477358922128)	(4, 0.010358623943629925)	(5, 0.01161602916222084)	(6, 0.009161095164019528)	(7, 0.009161095164019528)	(8, 0.009340724480961089)	(9, 0.00910121872503901)	(10, 0.009556279661290959)	(15, 0.009999365309746806)	(20, 0.01094541304563902)	(25, 0.012322571142190975)	(30, 0.04151832278909243)	(35, 0.02099699638626223)	(40, 0.017458606449704605)	(45, 0.01002821536744962)	(50, 0.0010915045893523242)	(55, 0.0067114740947472225)	(60, 0.012153657660494708)	(65, 0.0018126600898557956)	(70, 0.0005397995460662422)	(75, 0.00035597427170524517)	(80, 0.0015870423028061232)	(85, 0.0011546360803568981)	(90, 0.001898496484372232)	(95, 0.005513707636744384)	(100, 0.006323234536864945)	(105, 0.005820658503824759)	(110, 0.008819310092225625)	(115, 0.013610190562283447)	(120, 0.00995490320137884)	(125, 0.01932602605667089)	(130, 0.015134222044811838)	(135, 0.008144404213781561)	(140, 0.00492572396666609)	(145, 0.008010015740862032)
SRR16683523_2	(1, 0.027962297003902743)	(2, 0.025207980810798836)	(3, 0.025567239444681953)	(4, 0.024249957787110518)	(5, 0.019160460473766336)	(6, 0.0175437966212923)	(7, 0.015627750573915668)	(8, 0.017004908670467625)	(9, 0.013711704526539033)	(10, 0.014717628701411765)	(15, 0.018322190328039056)	(20, 0.021795023788909205)	(25, 0.02180699907670531)	(30, 0.0504997886361704)	(35, 0.027627641743352162)	(40, 0.011301773091897001)	(45, 0.007855417837035436)	(50, 0.0131574671111829)	(55, 0.012494250082664596)	(60, 0.011574094004274912)	(65, 0.014660452256952419)	(70, 0.013015657572483219)	(75, 0.014223009932084175)	(80, 0.018497681275664084)	(85, 0.027177662689528783)	(90, 0.02396279071756597)	(95, 0.007720978567190997)	(100, 0.03137517284944046)	(105, 0.06694389404227928)	(110, 0.08881869811760669)	(115, 0.05287441895807995)	(120, 0.02042047559225586)	(125, 0.014845052366402128)	(130, 0.021474770363562417)	(135, 0.03305557327540478)	(140, 0.04059596713807602)	(145, 0.03782428859674891)
SRR16683553_1	(1, 0.02501842656172009)	(2, 0.01214129524318769)	(3, 0.008891352577081894)	(4, 0.009872467344208173)	(5, 0.011160180476061413)	(6, 0.008462114866464148)	(7, 0.008584754212354934)	(8, 0.008646073885300325)	(9, 0.008400795193518756)	(10, 0.008866824707903738)	(15, 0.009516813241124897)	(20, 0.010105482101400665)	(25, 0.011282819821952197)	(30, 0.03585974473846547)	(35, 0.018132470897200062)	(40, 0.01771399209783733)	(45, 0.0098547564308761)	(50, 0.0010769531287716568)	(55, 0.006838502059694652)	(60, 0.01264272776793204)	(65, 0.0019257673333220055)	(70, 0.0004693315311002539)	(75, 0.00030719571400539817)	(80, 0.0016296210264568974)	(85, 0.0012824525937472845)	(90, 0.0020026055091279687)	(95, 0.004805748806336804)	(100, 0.005446823605438667)	(105, 0.0047259282266728046)	(110, 0.008346749275311625)	(115, 0.013326047845888688)	(120, 0.009907481085413644)	(125, 0.01833642271037651)	(130, 0.013659483793696053)	(135, 0.007171339909264017)	(140, 0.0037517771138939927)	(145, 0.00779041802738966)
SRR16683553_2	(1, 0.027900451190153535)	(2, 0.02550898394528323)	(3, 0.02483446754288391)	(4, 0.024098631467539204)	(5, 0.019438336323689385)	(6, 0.017414787116491436)	(7, 0.015452557582238879)	(8, 0.016372352676419764)	(9, 0.01238657393496926)	(10, 0.013784662478124208)	(15, 0.01786855269628734)	(20, 0.020860952736022485)	(25, 0.021044911754858665)	(30, 0.04473883338095828)	(35, 0.024613917506915838)	(40, 0.011329186678795415)	(45, 0.008189241531935761)	(50, 0.013677592773378875)	(55, 0.013750427991395664)	(60, 0.012366403145992955)	(65, 0.014988820680595656)	(70, 0.013202594252698924)	(75, 0.014307114628653594)	(80, 0.01917568352648449)	(85, 0.027695717603630977)	(90, 0.024526967599743224)	(95, 0.007441163006681977)	(100, 0.031299187123995945)	(105, 0.06669072697908843)	(110, 0.08943544673666498)	(115, 0.053097527639107606)	(120, 0.020559705652804103)	(125, 0.014283005327240876)	(130, 0.02167722224787317)	(135, 0.03348900353147982)	(140, 0.040663147612864284)	(145, 0.03776936046563049)
SRR16683554_1	(1, 0.025968629895086734)	(2, 0.012815687480692155)	(3, 0.009578040117148873)	(4, 0.01005019702433227)	(5, 0.011264314785660999)	(6, 0.009240785183446449)	(7, 0.009038432223224993)	(8, 0.009240785183446449)	(9, 0.009240785183446449)	(10, 0.009524079327756486)	(15, 0.01005019702433227)	(20, 0.01072470689173712)	(25, 0.010751687286433314)	(30, 0.026170982855308188)	(35, 0.014134632441505977)	(40, 0.017454404255900224)	(45, 0.009767363351064508)	(50, 0.0008558512785874704)	(55, 0.005902708907160477)	(60, 0.011145889145506023)	(65, 0.0016927445664963736)	(70, 0.0002492405087829586)	(75, 0.00037650922677694577)	(80, 0.0012372736562505096)	(85, 0.001064306385142964)	(90, 0.0013770113689501149)	(95, 0.004804901405890925)	(100, 0.0056193336853017205)	(105, 0.0048811208247571646)	(110, 0.0074487059504237795)	(115, 0.012045359116167142)	(120, 0.008121296920753612)	(125, 0.01627522841150397)	(130, 0.011316609497805333)	(135, 0.0065608209975879725)	(140, 0.0037598011375640523)	(145, 0.006452738271523733)
SRR16683554_2	(1, 0.027992159497301283)	(2, 0.024889414107238977)	(3, 0.02320313943872685)	(4, 0.022258825624360056)	(5, 0.0180094134597095)	(6, 0.016592942738159314)	(7, 0.014704315109425735)	(8, 0.013894903268539914)	(9, 0.011331765772401485)	(10, 0.013948864057932305)	(15, 0.01788800168357663)	(20, 0.022002511874746215)	(25, 0.020397178390322672)	(30, 0.034292081658862585)	(35, 0.019831236046248223)	(40, 0.010018036521624155)	(45, 0.007938178656703033)	(50, 0.01324446456093717)	(55, 0.012881373860543659)	(60, 0.011843156627047087)	(65, 0.013967155030879797)	(70, 0.011713119940409848)	(75, 0.013232212643469812)	(80, 0.01840219724203219)	(85, 0.026645887225751678)	(90, 0.02361978428697794)	(95, 0.006197246303676389)	(100, 0.027134723239059414)	(105, 0.06237959655921309)	(110, 0.08388522511375919)	(115, 0.050205228537998116)	(120, 0.01781122680016905)	(125, 0.011708851458041113)	(130, 0.019374938221860122)	(135, 0.030386871795147753)	(140, 0.0373246645865996)	(145, 0.03489791268030328)
SRR16683555_1	(1, 0.026828958330391558)	(2, 0.012340092962033648)	(3, 0.009761566074444528)	(4, 0.010129927058385831)	(5, 0.012217305967386545)	(6, 0.009209024598532574)	(7, 0.009147631101209022)	(8, 0.009209024598532574)	(9, 0.009270418095856122)	(10, 0.009503713385685614)	(15, 0.01014220575785054)	(20, 0.010829812927874305)	(25, 0.011775272786656982)	(30, 0.03288235716649364)	(35, 0.016899430200375622)	(40, 0.018716784633716833)	(45, 0.010208952696009113)	(50, 0.0006565175657468278)	(55, 0.005497910420878725)	(60, 0.010605323872584038)	(65, 0.0017114838426486925)	(70, 0.00043110318163023696)	(75, 0.00024301174949018694)	(80, 0.0015503665647946638)	(85, 0.0013329810081570597)	(90, 0.0017870545766467709)	(95, 0.005168986243649363)	(100, 0.0056459575489452695)	(105, 0.005302617021955888)	(110, 0.008024642871548394)	(115, 0.011895877680890695)	(120, 0.009653701189120146)	(125, 0.019769028068232688)	(130, 0.013677840840913657)	(135, 0.007541846864077704)	(140, 0.004028530546620622)	(145, 0.006929510155316607)
SRR16683555_2	(1, 0.027749860790244822)	(2, 0.022285839528448825)	(3, 0.023268135485625632)	(4, 0.022163052533801728)	(5, 0.018233868705094494)	(6, 0.01663763777468218)	(7, 0.01412050438441661)	(8, 0.015286980833564069)	(9, 0.01129640350753329)	(10, 0.01414506178334603)	(15, 0.0190933776676242)	(20, 0.022445462621490057)	(25, 0.022359511725237088)	(30, 0.042189611360743895)	(35, 0.023474158208698047)	(40, 0.011414300826053074)	(45, 0.008924610372248832)	(50, 0.014182162382167287)	(55, 0.014104214473610566)	(60, 0.013405454344236312)	(65, 0.016143999949667965)	(70, 0.013070869595699367)	(75, 0.015422487931199847)	(80, 0.02008688644088662)	(85, 0.028797000094726972)	(90, 0.02568719193731849)	(95, 0.006845231464119847)	(100, 0.028834123897299262)	(105, 0.06274759246701415)	(110, 0.08362113612986216)	(115, 0.050060057621799076)	(120, 0.01836650953425753)	(125, 0.012384669656348128)	(130, 0.02126528937802679)	(135, 0.03361267247253062)	(140, 0.04018978913176746)	(145, 0.03777094133026549)
SRR16683556_1	(1, 0.024741589878413805)	(2, 0.013068258155363967)	(3, 0.009103730400365911)	(4, 0.009911319387495145)	(5, 0.01174674890369795)	(6, 0.009177147581014023)	(7, 0.0090303132197178)	(8, 0.009177147581014023)	(9, 0.009103730400365911)	(10, 0.009558916920384207)	(15, 0.010146254365569105)	(20, 0.010630807757846646)	(25, 0.010498656832680043)	(30, 0.02415425243322891)	(35, 0.013754398174544488)	(40, 0.017501385097003892)	(45, 0.010033417181223582)	(50, 0.0007848381123310654)	(55, 0.005563744143936143)	(60, 0.011299336945928407)	(65, 0.0015376776243785219)	(70, 0.00024334234359056801)	(75, 0.0003533903889798741)	(80, 0.001632820119827226)	(85, 0.0012136488526132223)	(90, 0.0018885387623381196)	(95, 0.0053056752497085136)	(100, 0.005820421587562273)	(105, 0.0055002475111380015)	(110, 0.008233248625428008)	(115, 0.014430476883881051)	(120, 0.009436187780136824)	(125, 0.019555352262666)	(130, 0.014216969321004816)	(135, 0.0077181170393381794)	(140, 0.004481308785494348)	(145, 0.007831847532832996)
SRR16683556_2	(1, 0.026723853755912838)	(2, 0.024815007059061915)	(3, 0.022979577542859113)	(4, 0.022685908820266665)	(5, 0.01842771234267616)	(6, 0.017913792078139375)	(7, 0.015050522032862999)	(8, 0.016225196923232793)	(9, 0.011967000445642285)	(10, 0.014228249609604142)	(15, 0.01866264732075012)	(20, 0.02187831983313743)	(25, 0.020468709964693677)	(30, 0.03314051534455784)	(35, 0.020792825285015998)	(40, 0.011436664356274025)	(45, 0.008424855892176009)	(50, 0.01408214406344339)	(55, 0.013893979711814464)	(60, 0.012585778967681786)	(65, 0.01513490795669547)	(70, 0.013170099130089099)	(75, 0.01465697605996516)	(80, 0.01912585809795052)	(85, 0.02817902506562104)	(90, 0.02515624234870969)	(95, 0.007453004170915937)	(100, 0.029130809271124602)	(105, 0.06094798997691523)	(110, 0.08340593667651121)	(115, 0.04955165401438325)	(120, 0.018960448504419778)	(125, 0.014227402685217412)	(130, 0.021238336613476433)	(135, 0.03352863154160238)	(140, 0.04028758073990058)	(145, 0.038555714234175774)
SRR16683557_1	(1, 0.02443321978151063)	(2, 0.012417982581262272)	(3, 0.010001510295178801)	(4, 0.011813864509741404)	(5, 0.013357721803628065)	(6, 0.009733013374502861)	(7, 0.00959876491416489)	(8, 0.009665889144333877)	(9, 0.009733013374502861)	(10, 0.010095484217415381)	(15, 0.010672752596868654)	(20, 0.011572217281133057)	(25, 0.012726754040039603)	(30, 0.039052877112315615)	(35, 0.019543176239261165)	(40, 0.017003290042310167)	(45, 0.00980090773979712)	(50, 0.000787677572062652)	(55, 0.006856740428529886)	(60, 0.011599740430007745)	(65, 0.0018594933518949624)	(70, 0.000490728525754765)	(75, 0.00031209263930928794)	(80, 0.0015241607517966045)	(85, 0.0009634303726680059)	(90, 0.001840978913813533)	(95, 0.004886053599554174)	(100, 0.005233914282379403)	(105, 0.005319041474002671)	(110, 0.00782124764736386)	(115, 0.013356183565000701)	(120, 0.009713846416092527)	(125, 0.01878492329752013)	(130, 0.014058859277479038)	(135, 0.007624902300141756)	(140, 0.0039033126496030674)	(145, 0.0071287505761632695)
SRR16683557_2	(1, 0.026044201305566277)	(2, 0.02349348055914484)	(3, 0.02315785940829991)	(4, 0.02181537480492021)	(5, 0.017116678693091237)	(6, 0.015371448708697623)	(7, 0.013022100652783138)	(8, 0.014968703327683712)	(9, 0.011411119128727493)	(10, 0.013626218724304006)	(15, 0.017640247688409324)	(20, 0.020727962276182645)	(25, 0.021130707657196556)	(30, 0.04610092128005907)	(35, 0.025684831393396054)	(40, 0.010629943378373845)	(45, 0.008043026270416276)	(50, 0.013688220362965978)	(55, 0.01383512167873427)	(60, 0.012671596252399487)	(65, 0.01510973497053116)	(70, 0.01284095648303585)	(75, 0.014764313477151833)	(80, 0.019722159053175366)	(85, 0.028135076384981236)	(90, 0.02525940608635927)	(95, 0.007303248887312986)	(100, 0.03151109593338659)	(105, 0.06841363035501895)	(110, 0.0899177320577547)	(115, 0.05414767910131412)	(120, 0.019905070999569435)	(125, 0.013123815951325498)	(130, 0.021599724904752586)	(135, 0.0331383090714453)	(140, 0.039469159868828596)	(145, 0.03805788369872535)
SRR16683558_1	(1, 0.02467963020978218)	(2, 0.012446192821312563)	(3, 0.009042105895825367)	(4, 0.01021226077646159)	(5, 0.011967493097415925)	(6, 0.008935728179403891)	(7, 0.008829350462982416)	(8, 0.008829350462982416)	(9, 0.00872297274656094)	(10, 0.00915912138388899)	(15, 0.009903765398839312)	(20, 0.01046756729587313)	(25, 0.012350452876533236)	(30, 0.05261441854206148)	(35, 0.026024091146981447)	(40, 0.016987492797966294)	(45, 0.009826490411968623)	(50, 0.0008552826097335709)	(55, 0.005840965254990887)	(60, 0.011643073899528107)	(65, 0.0019107594866694358)	(70, 0.0006124584251312107)	(75, 0.00032292853741398137)	(80, 0.0014223590612618276)	(85, 0.0014282518293625532)	(90, 0.002075106069844878)	(95, 0.004693625779355798)	(100, 0.005231710521318639)	(105, 0.004860967045565324)	(110, 0.007217745154541766)	(115, 0.011752343458151017)	(120, 0.009871143058013246)	(125, 0.019262800754176936)	(130, 0.013620129620819005)	(135, 0.007301639723616087)	(140, 0.003969043453884863)	(145, 0.006745857104569066)
SRR16683558_2	(1, 0.025902973948629136)	(2, 0.021594676433559404)	(3, 0.02085003241860908)	(4, 0.02106278785145203)	(5, 0.016541734903539346)	(6, 0.015477957739324597)	(7, 0.014148236284056162)	(8, 0.014254614000477638)	(9, 0.01042501620930454)	(10, 0.012680223797439808)	(15, 0.016754490336382294)	(20, 0.020307506064859558)	(25, 0.020828756875324785)	(30, 0.05973108777065816)	(35, 0.03218265082314056)	(40, 0.010589737111380716)	(45, 0.007879761504451797)	(50, 0.01316296815406042)	(55, 0.012847580539703172)	(60, 0.011860884513050007)	(65, 0.014589013199594011)	(70, 0.012789043146013913)	(75, 0.01408739394970639)	(80, 0.01872742340965522)	(85, 0.02770694116449035)	(90, 0.024416629663407557)	(95, 0.0067389358868200746)	(100, 0.028675204272115045)	(105, 0.06548298477175678)	(110, 0.08912446679594811)	(115, 0.05396488525320507)	(120, 0.019595016014934016)	(125, 0.013773881722673458)	(130, 0.021863003509073997)	(135, 0.034544173061022115)	(140, 0.040711471488548596)	(145, 0.0382716283017584)
