Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
SRR16683572_2 - polyg	(1, 0.07091159420021056)	(2, 0.071035241269435)	(3, 0.07109706480404722)	(4, 0.07109706480404722)	(5, 0.07165347661555715)	(6, 0.0722717119616793)	(7, 0.07264265316935259)	(8, 0.07282812377318923)	(9, 0.07301359437702588)	(10, 0.07329180028278084)	(12, 0.07381730032698466)	(14, 0.07459009450963736)	(16, 0.07496103571731065)	(18, 0.07520832985575951)	(20, 0.07548653576151448)	(22, 0.07582656520188166)	(24, 0.07647571231530992)	(26, 0.07687756529028932)	(28, 0.07718668296335038)	(30, 0.07768127124024811)	(32, 0.07817585951714583)	(34, 0.07857771249212522)	(36, 0.07931959490747181)	(38, 0.07978327141706343)	(40, 0.08037059499587945)	(42, 0.08105065387661384)	(44, 0.08148341861889932)	(46, 0.0821634774996337)	(48, 0.08250350694000089)	(50, 0.08293627168228637)	(52, 0.08327630112265356)	(54, 0.08426547767644901)	(56, 0.08494553655718337)	(58, 0.08553286013599941)	(60, 0.08642930138787652)	(62, 0.08695480143208036)	(64, 0.08735665440705975)	(66, 0.08775850738203915)	(68, 0.08831491919354909)	(70, 0.08899497807428344)	(72, 0.0895823016530995)	(74, 0.09050965467228272)	(76, 0.09134427238954762)	(78, 0.09214797833950641)	(80, 0.09282803722024077)	(82, 0.0938172137740362)	(84, 0.09437362558554616)	(86, 0.09480639032783167)	(88, 0.09533189037203549)	(90, 0.09585739041623931)	(92, 0.09632106692583092)	(94, 0.09687747873734086)	(96, 0.09780483175652407)	(98, 0.09836124356803402)	(100, 0.09891765537954395)	(102, 0.09941224365644166)	(104, 0.09975227309680886)	(106, 0.10012321430448215)	(108, 0.10049415551215543)	(110, 0.10126694969480812)	(112, 0.10188518504093028)	(114, 0.10250342038705243)	(116, 0.10333803810431733)	(118, 0.10441994996003108)	(120, 0.10537821474652043)	(122, 0.1061819206964792)	(124, 0.1073256560868052)	(126, 0.10927309742708996)	(128, 0.11118962700006862)	(130, 0.11292068596921065)	(132, 0.11517724498255649)	(134, 0.1181447746439428)	(136, 0.12120503960724745)	(138, 0.12352342215520551)
SRR16683573_2 - polyg	(1, 0.0623963616230973)	(2, 0.0623963616230973)	(3, 0.06266943103939095)	(4, 0.06287423310161118)	(5, 0.06410304547493256)	(6, 0.06423958018307939)	(7, 0.06444438224529962)	(8, 0.06451264959937303)	(9, 0.06478571901566668)	(10, 0.06505878843196031)	(12, 0.06546839255640077)	(14, 0.06615106609713489)	(16, 0.06639000183639182)	(18, 0.0668678733149057)	(20, 0.06703854170008923)	(22, 0.06717507640823606)	(24, 0.06772121524082333)	(26, 0.0681990867193372)	(28, 0.06836975510452073)	(30, 0.06864282452081437)	(32, 0.06925723070747507)	(34, 0.06966683483191553)	(36, 0.07011057263339271)	(38, 0.07038364204968633)	(40, 0.07110044926745715)	(42, 0.07178312280819127)	(44, 0.07236339531781524)	(46, 0.07304606885854936)	(48, 0.07355807401409994)	(50, 0.07437728226298088)	(52, 0.07468448535631123)	(54, 0.0752306241888985)	(56, 0.07598156508370602)	(58, 0.07639116920814648)	(60, 0.07666423862444013)	(62, 0.07707384274888059)	(64, 0.07789305099776152)	(66, 0.0784733235073855)	(68, 0.07878052660071586)	(70, 0.07919013072515632)	(72, 0.07966800220367018)	(74, 0.08007760632811066)	(76, 0.08076027986884476)	(78, 0.08175015650290922)	(80, 0.08250109739771673)	(82, 0.08338857300067107)	(84, 0.08396884551029507)	(86, 0.08468565272806586)	(88, 0.08540245994583667)	(90, 0.08581206407027714)	(92, 0.08601686613249737)	(94, 0.08618753451768091)	(96, 0.08690434173545171)	(98, 0.08738221321396558)	(100, 0.08803075307766299)	(102, 0.0886792929413604)	(104, 0.08925956545098437)	(106, 0.08977157060653496)	(108, 0.09028357576208554)	(110, 0.090693179886526)	(112, 0.0913417197502234)	(114, 0.09171719019762717)	(116, 0.09236573006132456)	(118, 0.09349214140353584)	(120, 0.09427721597538007)	(122, 0.0951988252553711)	(124, 0.09591563247314192)	(126, 0.09714444484646331)	(128, 0.09810018780349106)	(130, 0.09943140120792257)	(132, 0.10117221873679454)	(134, 0.10270823420344627)	(136, 0.10465385379453848)	(138, 0.10649707235452056)
SRR16683575_2 - polyg	(1, 0.06766467192982828)	(2, 0.067770812591679)	(3, 0.06798309391538042)	(4, 0.06814230490815648)	(5, 0.06936292251943967)	(6, 0.07015897748331999)	(7, 0.07047739946887213)	(8, 0.07095503244720033)	(9, 0.0711142434399764)	(10, 0.07156534125284192)	(12, 0.07220218522394618)	(14, 0.07339626766976667)	(16, 0.07384736548263221)	(18, 0.07461688528104986)	(20, 0.0752802644176168)	(22, 0.07586403805779571)	(24, 0.07713772600000424)	(26, 0.0776684293092578)	(28, 0.07817259745304868)	(30, 0.07907479307877971)	(32, 0.08003005903543611)	(34, 0.08117107115033126)	(36, 0.08310813822910675)	(38, 0.08371844703474833)	(40, 0.08448796683316598)	(42, 0.08597393609907594)	(44, 0.08695573722119501)	(46, 0.08801714383970213)	(48, 0.08883973396904514)	(50, 0.08952964827107476)	(52, 0.09011342191125367)	(54, 0.09191781316271576)	(56, 0.09364259891778981)	(58, 0.09526124401101316)	(60, 0.09650839678775901)	(62, 0.09828625287375842)	(64, 0.09955994081596695)	(66, 0.10067441776539943)	(68, 0.10208078153492134)	(70, 0.10354021563536861)	(72, 0.10444241126109965)	(74, 0.10539767721775606)	(76, 0.10685711131820333)	(78, 0.10815733442587455)	(80, 0.10919220587891898)	(82, 0.11065163997936625)	(84, 0.11158037077055999)	(86, 0.11266831255452978)	(88, 0.1137031840075742)	(90, 0.1147645906260813)	(92, 0.1159586730719018)	(94, 0.11725889617957302)	(96, 0.11879793577640832)	(98, 0.11959399074028866)	(100, 0.12041658086963167)	(102, 0.12129224132990005)	(104, 0.1223005776174818)	(106, 0.12304356225043676)	(108, 0.12399882820709317)	(110, 0.12529905131476438)	(112, 0.12638699309873416)	(114, 0.12720958322807718)	(116, 0.1282709898465843)	(118, 0.12946507229240478)	(120, 0.1309775767237774)	(122, 0.13286157347162753)	(124, 0.13437407790300018)	(126, 0.13676224279464116)	(128, 0.1392565483481329)	(130, 0.1420958110526394)	(132, 0.14477586276436985)	(134, 0.14785394195804047)	(136, 0.15111776730994983)	(138, 0.1537978190216803)
SRR16683576_2 - polyg	(1, 0.08013684697684768)	(2, 0.08013684697684768)	(3, 0.08027336630730228)	(4, 0.08068292429866607)	(5, 0.08129726128571176)	(6, 0.08177507894230283)	(7, 0.08211637726843933)	(8, 0.08238941592934852)	(9, 0.08259419492503041)	(10, 0.08351570040559893)	(12, 0.0843348163883265)	(14, 0.08474437437969029)	(16, 0.08494915337537218)	(18, 0.08529045170150867)	(20, 0.08556349036241787)	(22, 0.0858023991907134)	(24, 0.08634847651253179)	(26, 0.086621515173441)	(28, 0.08730411182571396)	(30, 0.08771366981707776)	(32, 0.08815735764105519)	(34, 0.08866930513025992)	(36, 0.08938603161514655)	(38, 0.09000036860219222)	(40, 0.0906147055892379)	(42, 0.09133143207412453)	(44, 0.09153621106980642)	(46, 0.09221880772207941)	(48, 0.09283314470912508)	(50, 0.09317444303526157)	(52, 0.09358400102662537)	(54, 0.0942324678462847)	(56, 0.09474441533548944)	(58, 0.09522223299208052)	(60, 0.09583656997912621)	(62, 0.09634851746833092)	(64, 0.09696285445537661)	(66, 0.09737241244674039)	(68, 0.09774784060549052)	(70, 0.09839630742514986)	(72, 0.09931781290571838)	(74, 0.10003453939060501)	(76, 0.10071713604287799)	(78, 0.10150212219299191)	(80, 0.101979939849583)	(82, 0.10256014700401503)	(84, 0.10314035415844706)	(86, 0.10382295081072004)	(88, 0.10460793696083397)	(90, 0.1050516247848114)	(92, 0.10576835126969802)	(94, 0.10648507775458466)	(96, 0.10730419373731223)	(98, 0.10832808871572171)	(100, 0.1085328677114036)	(102, 0.10890829587015374)	(104, 0.10935198369413118)	(106, 0.10979567151810861)	(108, 0.11023935934208604)	(110, 0.1105465278356089)	(112, 0.1113315139857228)	(114, 0.11187759130754119)	(116, 0.11269670729026876)	(118, 0.1134816934403827)	(120, 0.11477862707970135)	(122, 0.11563187289504258)	(124, 0.11658750820822475)	(126, 0.11808922084322529)	(128, 0.11945441414777125)	(130, 0.12088786711754451)	(132, 0.12283326757652249)	(134, 0.12484692770072778)	(136, 0.12655341933141023)	(138, 0.12860120928822916)
SRR16683577_2 - polyg	(1, 0.07485072926816662)	(2, 0.07504216335836653)	(3, 0.0751059747217665)	(4, 0.07529740881196642)	(5, 0.07568027699236625)	(6, 0.07587171108256616)	(7, 0.0759993338093661)	(8, 0.0759993338093661)	(9, 0.07619076789956603)	(10, 0.07638220198976593)	(12, 0.07702031562376566)	(14, 0.07832844857346506)	(16, 0.07842416561856502)	(18, 0.07861559970876494)	(20, 0.07871131675386489)	(22, 0.0789346565257648)	(24, 0.07979610993166442)	(26, 0.0802746951571642)	(28, 0.08078518606436397)	(30, 0.08129567697156374)	(32, 0.08164663947026359)	(34, 0.08238047014936326)	(36, 0.08349716900886275)	(38, 0.08410337696116249)	(40, 0.08448624514156232)	(42, 0.08512435877556204)	(44, 0.08592200081806167)	(46, 0.08662392581546136)	(48, 0.08738966217626101)	(50, 0.08796396444686078)	(52, 0.08828302126386062)	(54, 0.08911256898806025)	(56, 0.08965496557696001)	(58, 0.09000592807565985)	(60, 0.09080357011815951)	(62, 0.09176074056915907)	(64, 0.09227123147635885)	(66, 0.09268600533845867)	(68, 0.0932603076090584)	(70, 0.09418557237835799)	(72, 0.09485559169405769)	(74, 0.09555751669145737)	(76, 0.09622753600715708)	(78, 0.09715280077645666)	(80, 0.09747185759345653)	(82, 0.0982056882725562)	(84, 0.09922667008695574)	(86, 0.09996050076605542)	(88, 0.10098148258045496)	(90, 0.1017791246229546)	(92, 0.1027043893922542)	(94, 0.10359774847985379)	(96, 0.10429967347725348)	(98, 0.10487397574785323)	(100, 0.105384466655053)	(102, 0.10595876892565274)	(104, 0.1065330711962525)	(106, 0.10701165642175228)	(108, 0.10764977005575199)	(110, 0.10822407232635173)	(112, 0.10876646891525149)	(114, 0.10946839391265117)	(116, 0.11068080981725063)	(118, 0.11151035754145028)	(120, 0.11237181094734988)	(122, 0.11336088708004943)	(124, 0.11444568025784896)	(126, 0.11604096434284825)	(128, 0.11757243706444756)	(130, 0.11999726887364648)	(132, 0.1217520813671457)	(134, 0.12382595067764476)	(136, 0.12596363135154381)	(138, 0.1280694063437429)
SRR16683578_2 - polyg	(1, 0.07772939660092633)	(2, 0.07787536729876844)	(3, 0.0783132793922948)	(4, 0.07882417683474219)	(5, 0.07970000102179489)	(6, 0.08013791311532123)	(7, 0.08028388381316334)	(8, 0.0803568691620844)	(9, 0.08050283985992651)	(10, 0.08101373730237392)	(12, 0.08152463474482133)	(14, 0.08247344428079507)	(16, 0.08287486369986088)	(18, 0.08349523916568988)	(20, 0.08396964393367676)	(22, 0.08480897544626892)	(24, 0.0865606238203743)	(26, 0.08747294068188752)	(28, 0.08816630149663757)	(30, 0.08915160370707184)	(32, 0.08984496452182189)	(34, 0.09090325208117722)	(36, 0.09225348103621678)	(38, 0.09312930522326948)	(40, 0.09400512941032217)	(42, 0.09484446092291433)	(44, 0.09550132906320385)	(46, 0.09677857266932235)	(48, 0.0978368602286777)	(50, 0.09991694267292783)	(52, 0.10075627418552)	(54, 0.10221598116394115)	(56, 0.10345673209559914)	(58, 0.10528136581862557)	(60, 0.10663159477366513)	(62, 0.10739794093733623)	(64, 0.10816428710100734)	(66, 0.10885764791575739)	(68, 0.11017138419633643)	(70, 0.11130265710461282)	(72, 0.11185004722152075)	(74, 0.11290833478087609)	(76, 0.11422207106145513)	(78, 0.11528035862081046)	(80, 0.1157182707143368)	(82, 0.11630215350570526)	(84, 0.11714148501829744)	(86, 0.11809029455427117)	(88, 0.11907559676470544)	(90, 0.12009739164960026)	(92, 0.12126515723233719)	(94, 0.12199501072154775)	(96, 0.12254240083845569)	(98, 0.12312628362982414)	(100, 0.12389262979349525)	(102, 0.12429404921256107)	(104, 0.12516987339961377)	(106, 0.12579024886544277)	(108, 0.1264836096801928)	(110, 0.1274689118906271)	(112, 0.12805279468199554)	(114, 0.12867317014782453)	(116, 0.1295489943348772)	(118, 0.1304248185219299)	(120, 0.13115467201114048)	(122, 0.1325778863151011)	(124, 0.13367266654891696)	(126, 0.13527834422518026)	(128, 0.13684752922698296)	(130, 0.1386721629500094)	(132, 0.14086172341764114)	(134, 0.14264986446620706)	(136, 0.14483942493383878)	(138, 0.1458977124931941)
SRR16683579_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.00024396948104438455)	(4, 0.0006505852827850255)	(5, 0.002195725329399461)	(6, 0.0033342495742732558)	(7, 0.0035782190553176403)	(8, 0.0038221885363620245)	(9, 0.003903511696710153)	(10, 0.0041881427579286016)	(12, 0.004757404880365499)	(14, 0.00516402068210614)	(16, 0.005448651743324588)	(18, 0.005895929125239294)	(20, 0.006221221766631806)	(22, 0.006709160728720576)	(24, 0.006993791789939024)	(26, 0.007197099690809344)	(28, 0.007278422851157472)	(30, 0.007725700233072177)	(32, 0.008376285515857203)	(34, 0.009352163440034741)	(36, 0.010815980326301048)	(38, 0.011466565609086075)	(40, 0.011751196670304522)	(42, 0.012849059335004253)	(44, 0.013824937259181791)	(46, 0.014922799923881522)	(48, 0.015817354687710932)	(50, 0.016752571031714406)	(52, 0.01817572633780665)	(54, 0.020737405888772688)	(56, 0.022485853836257445)	(58, 0.024193640203568137)	(60, 0.025210179707919736)	(62, 0.026267380792445404)	(64, 0.026958627655404493)	(66, 0.028463106121844862)	(68, 0.029804938267588982)	(70, 0.03151272463489967)	(72, 0.03252926413925127)	(74, 0.0331798494220363)	(76, 0.03468432788847667)	(78, 0.036432775835961426)	(80, 0.03789659272222773)	(82, 0.03887247064640527)	(84, 0.039523055929190296)	(86, 0.040498933853367836)	(88, 0.04123084229650099)	(90, 0.0421253970603304)	(92, 0.04318259814485606)	(94, 0.04436178396990392)	(96, 0.046313539818259)	(98, 0.04781801828469938)	(100, 0.048753234628702846)	(102, 0.05082697521758012)	(104, 0.05334799318837209)	(106, 0.05562504167811968)	(108, 0.0579834133282154)	(110, 0.05993516917657047)	(112, 0.06188692502492554)	(114, 0.0647738972172841)	(116, 0.06753888466912046)	(118, 0.07176768900722312)	(120, 0.0759964933453258)	(122, 0.08010331294290626)	(124, 0.08441344044135705)	(126, 0.0905940006278148)	(128, 0.09766911557810196)	(130, 0.10494753842925943)	(132, 0.11255125392180941)	(134, 0.12043960047557783)	(136, 0.12926316337334975)	(138, 0.13515909249858904)
SRR16683579_2 - polyg	(1, 0.09392825020208806)	(2, 0.09409089652278431)	(3, 0.09441618916417682)	(4, 0.09474148180556934)	(5, 0.09709985345566505)	(6, 0.09799440821949447)	(7, 0.09848234718158323)	(8, 0.098970286143672)	(9, 0.09913293246436826)	(10, 0.09990550248767548)	(12, 0.10120667305324552)	(14, 0.10222321255759712)	(16, 0.10291445942055621)	(18, 0.10364636786368937)	(20, 0.10445959946717065)	(22, 0.1050695231697816)	(24, 0.1058827547732629)	(26, 0.10641135531552573)	(28, 0.10681797111726637)	(30, 0.10767186430092171)	(32, 0.108485095904403)	(34, 0.10966428172945086)	(36, 0.11108743703554311)	(38, 0.11169736073815406)	(40, 0.11251059234163535)	(42, 0.11348647026581288)	(44, 0.11429970186929417)	(46, 0.114828302411557)	(48, 0.11543822611416796)	(50, 0.11608881139695298)	(52, 0.1173086588021749)	(54, 0.11832519830652652)	(56, 0.11966703045227062)	(58, 0.12141547839975539)	(60, 0.12267598738515137)	(62, 0.12344855740845859)	(64, 0.12470906639385457)	(66, 0.12552229799733583)	(68, 0.12653883750168746)	(70, 0.12792133122760563)	(72, 0.12849059335004254)	(74, 0.12926316337334975)	(76, 0.12983242549578666)	(78, 0.13048301077857166)	(80, 0.13125558080187888)	(82, 0.13215013556570832)	(84, 0.13316667507005991)	(86, 0.1341832145744115)	(88, 0.1350777693382409)	(90, 0.13589100094172218)	(92, 0.1366635709650294)	(94, 0.137680110469381)	(96, 0.13829003417199198)	(98, 0.138940619454777)	(100, 0.13959120473756204)	(102, 0.14036377476086925)	(104, 0.14121766794452462)	(106, 0.1419089148074837)	(108, 0.14304743905235748)	(110, 0.14386067065583874)	(112, 0.14447059435844972)	(114, 0.1450805180610607)	(116, 0.14569044176367163)	(118, 0.14658499652750107)	(120, 0.14747955129133045)	(122, 0.14874006027672645)	(124, 0.15000056926212244)	(126, 0.15227761775187004)	(128, 0.1539854041191807)	(130, 0.15675039157101706)	(132, 0.15984067166424595)	(134, 0.16366286020060797)	(136, 0.16797298769905877)	(138, 0.17094128305176545)
SRR16683580_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 9.341141281959547e-05)	(4, 0.00018682282563919095)	(5, 0.0023819910268996847)	(6, 0.003736456512783819)	(7, 0.00434363069611119)	(8, 0.00453045352175038)	(9, 0.004810687760209167)	(10, 0.0053711562371267394)	(12, 0.006375328924937391)	(14, 0.0072627373467235475)	(16, 0.007566324438387234)	(18, 0.007706441557616626)	(20, 0.007963322942870513)	(22, 0.008336968594148897)	(24, 0.00866390853901748)	(26, 0.009014201337090962)	(28, 0.009481258401188939)	(30, 0.010088432584516312)	(32, 0.010602195355024085)	(34, 0.011396192363990648)	(36, 0.013007539235128669)	(38, 0.013754830537685434)	(40, 0.01422188760178341)	(42, 0.014665591812676489)	(44, 0.015226060289594062)	(46, 0.015856587326126333)	(48, 0.01695417142675658)	(50, 0.017958344114567232)	(52, 0.01877569397673869)	(54, 0.02022357087544242)	(56, 0.02143791924209716)	(58, 0.02246544478311271)	(60, 0.023422911764513565)	(62, 0.02410014450745563)	(64, 0.02496420007603689)	(66, 0.025734844231798552)	(68, 0.02662225265358471)	(70, 0.027462955368961067)	(72, 0.02825695237792763)	(74, 0.02907430224009909)	(76, 0.029985063515090147)	(78, 0.030849119083671404)	(80, 0.03192335033109675)	(82, 0.03269399448685842)	(84, 0.03365146146825927)	(86, 0.03470233986247972)	(88, 0.036033452495158956)	(90, 0.03731785942142839)	(92, 0.03834538496244394)	(94, 0.039513027622688886)	(96, 0.04068067028293383)	(98, 0.041474667291900386)	(100, 0.042292017154071854)	(102, 0.04357642408034129)	(104, 0.045000948125840115)	(106, 0.04658894214377324)	(108, 0.048083524748886775)	(110, 0.0495781073540003)	(112, 0.051516394170006904)	(114, 0.05336126957319391)	(116, 0.055556437774454404)	(118, 0.05866236725070596)	(120, 0.06218864808464569)	(122, 0.06557481179935602)	(124, 0.06938132687175454)	(126, 0.07358484044863633)	(128, 0.07939970089665616)	(130, 0.08554150128954455)	(132, 0.0929443557554975)	(134, 0.10076756157913862)	(136, 0.1093614115585414)	(138, 0.11709120596936293)
SRR16683580_2 - polyg	(1, 0.08038052073126191)	(2, 0.08038052073126191)	(3, 0.0806607549697207)	(4, 0.08108110632740886)	(5, 0.08276251175816159)	(6, 0.08327627452866937)	(7, 0.08397686012481632)	(8, 0.08444391718891431)	(9, 0.08481756284019269)	(10, 0.08561155984915925)	(12, 0.08633549829851112)	(14, 0.08733967098632177)	(16, 0.08804025658246872)	(18, 0.08871748932541079)	(20, 0.08916119353630388)	(22, 0.08974501486642636)	(24, 0.09046895331577823)	(26, 0.09137971459076927)	(28, 0.09240724013178482)	(30, 0.09327129570036607)	(32, 0.09439223265420123)	(34, 0.09532634678239718)	(36, 0.09633051947020783)	(38, 0.09742810357083807)	(40, 0.09817539487339484)	(42, 0.09840892340544383)	(44, 0.0991795675612055)	(46, 0.10006697598299165)	(48, 0.1008843258451631)	(50, 0.10151485288169537)	(52, 0.10221543847784234)	(54, 0.10352319825731668)	(56, 0.10497107515602042)	(58, 0.10574171931178208)	(60, 0.10707283194446132)	(62, 0.10789018180663276)	(64, 0.10842729743034545)	(66, 0.10908117732008261)	(68, 0.10978176291622957)	(70, 0.11073922989763044)	(72, 0.1113697569341627)	(74, 0.11195357826428518)	(76, 0.11265416386043214)	(78, 0.1135182194290134)	(80, 0.11433556929118485)	(82, 0.11470921494246324)	(84, 0.11517627200656122)	(86, 0.11564332907065919)	(88, 0.11629720896039636)	(90, 0.11662414890526496)	(92, 0.1174882044738462)	(94, 0.11816543721678827)	(96, 0.11874925854691074)	(98, 0.1195199027026724)	(100, 0.12005701832638507)	(102, 0.12087436818855654)	(104, 0.12148154237188391)	(106, 0.12243900935328476)	(108, 0.12334977062827582)	(110, 0.12428388475647177)	(112, 0.12524135173787262)	(114, 0.12624552442568326)	(116, 0.12727304996669883)	(118, 0.1283472812141242)	(120, 0.1295849824339838)	(122, 0.13131309357114634)	(124, 0.13320467468074315)	(126, 0.13511960864354483)	(128, 0.13780518676210823)	(130, 0.14065423485310588)	(132, 0.14406375142102112)	(134, 0.14777685508060004)	(136, 0.15216719148312102)	(138, 0.15609047082154404)
SRR16683614_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0003717538914887566)	(4, 0.000805466764892306)	(5, 0.0039034158606319445)	(6, 0.006381775137223655)	(7, 0.007001364956371583)	(8, 0.007187241902115961)	(9, 0.007620954775519511)	(10, 0.008426421540411816)	(12, 0.009355806269133708)	(14, 0.010254211506898203)	(16, 0.01096673979891832)	(18, 0.011276534708492283)	(20, 0.011772206563810627)	(22, 0.012020042491469797)	(24, 0.012546693837745536)	(26, 0.01335216060263784)	(28, 0.014064688894657958)	(30, 0.014591340240933698)	(32, 0.014963094132422455)	(34, 0.015706601915399968)	(36, 0.017007740535610615)	(38, 0.018215940682949072)	(40, 0.018990427956883986)	(42, 0.019517079303159723)	(44, 0.020167648613265046)	(46, 0.020942135887199956)	(48, 0.021840541124964453)	(50, 0.022831884835601134)	(52, 0.023544413127621254)	(54, 0.024194982437726578)	(56, 0.02537220309410764)	(58, 0.026301587822829528)	(60, 0.026983136623892248)	(62, 0.027571746952082782)	(64, 0.028594070153676862)	(66, 0.029709331828143132)	(68, 0.03057675757495023)	(70, 0.031568101285586916)	(72, 0.03249748601430881)	(74, 0.03386058361643425)	(76, 0.03503780427281531)	(78, 0.036462860856855545)	(80, 0.037485184058449625)	(82, 0.038538486751001105)	(84, 0.03977766638929696)	(86, 0.04061411264514666)	(88, 0.04179133330152772)	(90, 0.0428756154850366)	(92, 0.04420773359620464)	(94, 0.045477892725457894)	(96, 0.04705784676428511)	(98, 0.04804919047492179)	(100, 0.0488236777488567)	(102, 0.04981502145949339)	(104, 0.05074440618821528)	(106, 0.0522624012451277)	(108, 0.05347060139246616)	(110, 0.05526741186799515)	(112, 0.05663050947012059)	(114, 0.057869689108416444)	(116, 0.0599762944935194)	(118, 0.06208289987862235)	(120, 0.06409656679085313)	(122, 0.06645100810361525)	(124, 0.06908426483499394)	(126, 0.0728018037498815)	(128, 0.07735578892061877)	(130, 0.08178585612752645)	(132, 0.0857202514791158)	(134, 0.0908008879961288)	(136, 0.09662503229611932)	(138, 0.10130293543068618)
SRR16683614_2 - polyg	(1, 0.08500772318709568)	(2, 0.08506968216901047)	(3, 0.08562731300624361)	(4, 0.08630886180730633)	(5, 0.0891589749753868)	(6, 0.09033619563176785)	(7, 0.09095578545091579)	(8, 0.09138949832431933)	(9, 0.09200908814346727)	(10, 0.09303141134506135)	(12, 0.09451842691101636)	(14, 0.09612936044080098)	(16, 0.09696580669665068)	(18, 0.0976473554977134)	(20, 0.09873163768122228)	(22, 0.09997081731951814)	(24, 0.10062138662962346)	(26, 0.10167468932217494)	(28, 0.10223232015940806)	(30, 0.10266603303281162)	(32, 0.10328562285195955)	(34, 0.10443186401738322)	(36, 0.1062286744929122)	(38, 0.10700316176684711)	(40, 0.10777764904078202)	(42, 0.10849017733280214)	(44, 0.10951250053439622)	(46, 0.11065874169981989)	(48, 0.11168106490141397)	(50, 0.11230065472056189)	(52, 0.11307514199449681)	(54, 0.11437628061470745)	(56, 0.11589427567161988)	(58, 0.11685463989129916)	(60, 0.11772206563810626)	(62, 0.11886830680352992)	(64, 0.11982867102320921)	(66, 0.12063413778810152)	(68, 0.12143960455299382)	(70, 0.1224929072455453)	(72, 0.12339131248330981)	(74, 0.12450657415777606)	(76, 0.12549791786841274)	(78, 0.1266441590338364)	(80, 0.12738766681681393)	(82, 0.12813117459979145)	(84, 0.12881272340085417)	(86, 0.12989700558436304)	(88, 0.1304236569306388)	(90, 0.13098128776787193)	(92, 0.13175577504180683)	(94, 0.13243732384286955)	(96, 0.13345964704446361)	(98, 0.13407923686361156)	(100, 0.13479176515563168)	(102, 0.13556625242956657)	(104, 0.13658857563116067)	(106, 0.13751796035988256)	(108, 0.13857126305243403)	(110, 0.1397175042178577)	(112, 0.1404300325098778)	(114, 0.1412045197838127)	(116, 0.1421958634944494)	(118, 0.1432491661870009)	(120, 0.14389973549710622)	(122, 0.14523185360827423)	(124, 0.14684278713805887)	(126, 0.14854665914071566)	(128, 0.15056032605294645)	(130, 0.15297672634762333)	(132, 0.1550523522417689)	(134, 0.15784050642793457)	(136, 0.1610313939965464)	(138, 0.1645010969837748)
SRR16683615_2 - polyg	(1, 0.07652788818622973)	(2, 0.07657352198956081)	(3, 0.07666478959622298)	(4, 0.0769385924162095)	(5, 0.07862704313945965)	(6, 0.0790377473694394)	(7, 0.07922028258276374)	(8, 0.07972225441940568)	(9, 0.08008732484605437)	(10, 0.08038394456770642)	(12, 0.08077183189602063)	(14, 0.08152478965098355)	(16, 0.08175295866763897)	(18, 0.08195831078262886)	(20, 0.08227774740594646)	(22, 0.08271126853759175)	(24, 0.08314478966923707)	(26, 0.08373802911254118)	(28, 0.08405746573585877)	(30, 0.08451380376916962)	(32, 0.08510704321247373)	(34, 0.08576873336077445)	(36, 0.08677267703405833)	(38, 0.08768535310068004)	(40, 0.08823295874065305)	(42, 0.08862084606896728)	(44, 0.08930535311893356)	(46, 0.08973887425057886)	(48, 0.09030929679221743)	(50, 0.09083408553052491)	(52, 0.09133605736716685)	(54, 0.09208901512212975)	(56, 0.09272788836876494)	(58, 0.0931842264020758)	(60, 0.0936177475337211)	(62, 0.09416535317369412)	(64, 0.09455324050200835)	(66, 0.09489549402699149)	(68, 0.09530619825697124)	(70, 0.09587662079860981)	(72, 0.09651549404524501)	(74, 0.09706309968521802)	(76, 0.09770197293185322)	(78, 0.09831802927682287)	(80, 0.09875155040846817)	(82, 0.09948169126176554)	(84, 0.10016619831173182)	(86, 0.10055408564004603)	(88, 0.10117014198501569)	(90, 0.10153521241166437)	(92, 0.10196873354330968)	(94, 0.10258478988827932)	(96, 0.10324648003658006)	(98, 0.10374845187322199)	(100, 0.10445577582485381)	(102, 0.10502619836649238)	(104, 0.10561943780979649)	(106, 0.1064864800730871)	(108, 0.10703408571306013)	(110, 0.10774140966469194)	(112, 0.1081521138946717)	(114, 0.10867690263297919)	(116, 0.10942986038794209)	(118, 0.11027408574956717)	(120, 0.11148338153784092)	(122, 0.11287521253943902)	(124, 0.11426704354103712)	(126, 0.11622929708427376)	(128, 0.11787211400419284)	(130, 0.120108170367416)	(132, 0.12327971969892643)	(134, 0.12665662114542672)	(136, 0.13064957893689666)	(138, 0.1335701423500861)
